datetime,"price BTC-USD"
2017-01-01T00:00:00+00:00,944.11
2017-01-02T00:00:00+00:00,960.53
2017-01-03T00:00:00+00:00,990.01
2017-01-04T00:00:00+00:00,999.99
2017-01-05T00:00:00+00:00,881.98212831107
2017-01-06T00:00:00+00:00,870.02976943556
2017-01-07T00:00:00+00:00,818.44790416756
2017-01-08T00:00:00+00:00,812.28
2017-01-09T00:00:00+00:00,880
2017-01-10T00:00:00+00:00,875
2017-01-11T00:00:00+00:00,751.03688782921
2017-01-12T00:00:00+00:00,752.01782998518
2017-01-13T00:00:00+00:00,751.34
2017-01-14T00:00:00+00:00,775
2017-01-15T00:00:00+00:00,804.99857707646
2017-01-16T00:00:00+00:00,808
2017-01-17T00:00:00+00:00,818.09
2017-01-18T00:00:00+00:00,827
2017-01-19T00:00:00+00:00,851.74
2017-01-20T00:00:00+00:00,878.89
2017-01-21T00:00:00+00:00,880
2017-01-22T00:00:00+00:00,894.11043669644
2017-01-23T00:00:00+00:00,886.76
2017-01-24T00:00:00+00:00,884.27793421647
2017-01-25T00:00:00+00:00,881.48
2017-01-26T00:00:00+00:00,884.5
2017-01-27T00:00:00+00:00,892.86
2017-01-28T00:00:00+00:00,908.01
2017-01-29T00:00:00+00:00,911.86814192882
2017-01-30T00:00:00+00:00,910.45
2017-01-31T00:00:00+00:00,910
2017-02-01T00:00:00+00:00,917.5
2017-02-02T00:00:00+00:00,962
2017-02-03T00:00:00+00:00,973.12
2017-02-04T00:00:00+00:00,987.01
2017-02-05T00:00:00+00:00,999.00561988848
2017-02-06T00:00:00+00:00,1004.7
2017-02-07T00:00:00+00:00,1005.1
2017-02-08T00:00:00+00:00,1015.0227432774
2017-02-09T00:00:00+00:00,898.46206500608
2017-02-10T00:00:00+00:00,902.28665989573
2017-02-11T00:00:00+00:00,950
2017-02-12T00:00:00+00:00,987.62
2017-02-13T00:00:00+00:00,975.85850118022
2017-02-14T00:00:00+00:00,975.1
2017-02-15T00:00:00+00:00,987.97
2017-02-16T00:00:00+00:00,1000.97
2017-02-17T00:00:00+00:00,1010.75
2017-02-18T00:00:00+00:00,1031.98
2017-02-19T00:00:00+00:00,1045.00000001
2017-02-20T00:00:00+00:00,1039.07
2017-02-21T00:00:00+00:00,1044.39
2017-02-22T00:00:00+00:00,1077
2017-02-23T00:00:00+00:00,1098.16
2017-02-24T00:00:00+00:00,1107.5844341159
2017-02-25T00:00:00+00:00,1091.1
2017-02-26T00:00:00+00:00,1127
2017-02-27T00:00:00+00:00,1133
2017-02-28T00:00:00+00:00,1169
2017-03-01T00:00:00+00:00,1176.27
2017-03-02T00:00:00+00:00,1188.3
2017-03-03T00:00:00+00:00,1215
2017-03-04T00:00:00+00:00,1235.027849919
2017-03-05T00:00:00+00:00,1230
2017-03-06T00:00:00+00:00,1240
2017-03-07T00:00:00+00:00,1169.2175380459
2017-03-08T00:00:00+00:00,1142.9675877212
2017-03-09T00:00:00+00:00,1135.0699064191
2017-03-10T00:00:00+00:00,999.82138908203
2017-03-11T00:00:00+00:00,975
2017-03-12T00:00:00+00:00,1106.51
2017-03-13T00:00:00+00:00,1170.9
